gameid,date,team,position,playername,performance
ESPORTSTMNT06_2828947,2023-10-13 07:55:54,GAM Esports,top,Kiaya,4185.8
ESPORTSTMNT06_2828947,2023-10-13 07:55:54,GAM Esports,jng,Levi,3339.4
ESPORTSTMNT06_2828947,2023-10-13 07:55:54,GAM Esports,mid,Kati,3904.2
ESPORTSTMNT06_2828947,2023-10-13 07:55:54,GAM Esports,bot,Slayder,3458.4
ESPORTSTMNT06_2828947,2023-10-13 07:55:54,GAM Esports,sup,Palette,2507.8
ESPORTSTMNT06_2829912,2023-10-13 08:52:20,DetonatioN FocusMe,top,apaMEN,1909.8
ESPORTSTMNT06_2829912,2023-10-13 08:52:20,DetonatioN FocusMe,jng,Steal,1925.8000000000002
ESPORTSTMNT06_2829912,2023-10-13 08:52:20,DetonatioN FocusMe,mid,Aria,2407.0
ESPORTSTMNT06_2829912,2023-10-13 08:52:20,DetonatioN FocusMe,bot,Yutapon,2111.1
ESPORTSTMNT06_2829912,2023-10-13 08:52:20,DetonatioN FocusMe,sup,Harp,1442.1000000000001
ESPORTSTMNT06_2829912,2023-10-13 08:52:20,Team BDS,top,Adam,2931.5
ESPORTSTMNT06_2829912,2023-10-13 08:52:20,Team BDS,jng,Sheo,1551.3000000000002
ESPORTSTMNT06_2829912,2023-10-13 08:52:20,Team BDS,mid,nuc,3058.1
ESPORTSTMNT06_2829912,2023-10-13 08:52:20,Team BDS,bot,Crownie,2819.7
ESPORTSTMNT06_2829912,2023-10-13 08:52:20,Team BDS,sup,Labrov,1899.1
ESPORTSTMNT06_2828951,2023-10-13 09:38:40,Team BDS,top,Adam,3086.0
ESPORTSTMNT06_2828951,2023-10-13 09:38:40,Team BDS,jng,Sheo,1881.5
ESPORTSTMNT06_2828951,2023-10-13 09:38:40,Team BDS,mid,nuc,2113.3
ESPORTSTMNT06_2828951,2023-10-13 09:38:40,Team BDS,bot,Crownie,4189.6
ESPORTSTMNT06_2828951,2023-10-13 09:38:40,Team BDS,sup,Labrov,2217.1
ESPORTSTMNT06_2828951,2023-10-13 09:38:40,DetonatioN FocusMe,top,apaMEN,1794.9
ESPORTSTMNT06_2828951,2023-10-13 09:38:40,DetonatioN FocusMe,jng,Steal,1304.3000000000002
ESPORTSTMNT06_2828951,2023-10-13 09:38:40,DetonatioN FocusMe,mid,Aria,3008.2
ESPORTSTMNT06_2828951,2023-10-13 09:38:40,DetonatioN FocusMe,bot,Yutapon,2686.7
ESPORTSTMNT06_2828951,2023-10-13 09:38:40,DetonatioN FocusMe,sup,Harp,1884.6000000000001
ESPORTSTMNT06_2828968,2023-10-14 07:12:11,LOUD,top,Robo,2753.9
ESPORTSTMNT06_2828968,2023-10-14 07:12:11,LOUD,jng,Croc,2347.4
ESPORTSTMNT06_2828968,2023-10-14 07:12:11,LOUD,mid,tinowns,3236.6
ESPORTSTMNT06_2828968,2023-10-14 07:12:11,LOUD,bot,Route,3966.0
ESPORTSTMNT06_2828968,2023-10-14 07:12:11,LOUD,sup,Ceos,1890.6
ESPORTSTMNT06_2828968,2023-10-14 07:12:11,GAM Esports,top,Kiaya,3491.3
ESPORTSTMNT06_2828968,2023-10-14 07:12:11,GAM Esports,jng,Levi,3117.7000000000003
ESPORTSTMNT06_2828968,2023-10-14 07:12:11,GAM Esports,mid,Kati,5973.4
ESPORTSTMNT06_2828968,2023-10-14 07:12:11,GAM Esports,bot,Slayder,4922.7
ESPORTSTMNT06_2828968,2023-10-14 07:12:11,GAM Esports,sup,Palette,2642.3
ESPORTSTMNT06_2827957,2023-10-14 08:07:55,LOUD,top,Robo,2911.7
ESPORTSTMNT06_2827957,2023-10-14 08:07:55,LOUD,jng,Croc,1677.3
ESPORTSTMNT06_2827957,2023-10-14 08:07:55,LOUD,mid,tinowns,2922.9
